date,edge_id,district,rainfall_24h_mm,slope_deg,soil_saturation,base_vulnerability,active_reports_count,disruption_level,blocked_flag
2023-04-14,osm_edge_03055,East Khasi Hills,2.1,25.0,0.74,0.75,2,45.7,0
2023-05-11,osm_edge_02372,Karimganj,93.6,1.9,0.68,0.14,0,31.9,0
2023-05-12,osm_edge_02543,Karimganj,158.3,5.2,0.38,0.2,0,39.2,0
2023-05-16,osm_edge_03753,Karimganj,37.3,5.2,0.5,0.2,0,24.1,0
2023-05-20,osm_edge_03634,Cachar,119.9,1.7,0.39,0.13,0,28.2,0
2023-05-23,osm_edge_04134,Karimganj,103.6,3.2,0.5,0.16,0,25.4,0
2023-05-27,osm_edge_04998,Cachar,123.9,3.3,0.6,0.17,0,30.0,0
2023-06-02,osm_edge_04824,Ri-Bhoi,89.5,4.4,0.5,0.19,0,23.9,0
2023-06-05,osm_edge_02677,East Khasi Hills,155.1,25.3,0.81,0.76,2,66.6,0
2023-06-05,osm_edge_02784,East Khasi Hills,96.9,20.5,0.64,0.66,1,52.0,0
2023-06-09,osm_edge_02887,East Khasi Hills,231.4,22.9,0.75,0.71,2,76.5,1
2023-06-11,osm_edge_03524,Cachar,249.7,5.1,0.49,0.2,2,48.1,0
2023-06-14,osm_edge_00752,Kamrup Metropolitan,141.0,4.2,0.41,0.18,0,31.2,0
2023-06-15,osm_edge_05141,Cachar,94.2,1.2,0.48,0.12,0,29.3,0
2023-06-19,osm_edge_05039,Cachar,292.9,3.8,0.63,0.18,1,56.9,0
2023-06-20,osm_edge_01909,East Khasi Hills,97.6,8.1,0.8,0.41,0,38.1,0
2023-06-22,osm_edge_00849,Ri-Bhoi,151.0,8.3,0.65,0.27,1,43.8,0
2023-06-23,osm_edge_03528,Cachar,233.7,2.2,0.55,0.14,2,44.8,0
2023-06-25,osm_edge_04314,Kamrup Metropolitan,100.1,5.3,0.56,0.21,0,28.6,0
2023-07-01,osm_edge_05293,Karimganj,115.7,2.8,0.41,0.16,0,32.9,0
2023-07-02,osm_edge_02634,Ri-Bhoi,277.7,8.0,0.63,0.26,1,64.2,0
2023-07-03,osm_edge_00347,Ri-Bhoi,209.1,12.5,0.55,0.35,2,55.1,0
2023-07-04,osm_edge_03673,East Khasi Hills,219.9,17.9,0.58,0.61,2,65.6,0
2023-07-06,osm_edge_03129,West Jaintia Hills,96.0,24.7,0.98,0.74,2,58.8,0
2023-07-10,osm_edge_02664,East Khasi Hills,85.8,18.0,0.71,0.61,1,50.1,0
2023-07-11,osm_edge_02537,Karimganj,275.5,5.1,0.58,0.2,1,57.6,0
2023-07-12,osm_edge_02731,Ri-Bhoi,232.2,6.4,0.58,0.23,1,47.1,0
2023-07-13,osm_edge_00540,Karimganj,230.7,2.4,0.6,0.15,1,51.2,0
2023-07-14,osm_edge_05423,Karimganj,89.6,2.4,0.61,0.15,0,27.8,0
2023-07-17,osm_edge_02321,Karimganj,162.8,4.3,0.37,0.19,0,36.4,0
2023-07-18,osm_edge_02972,Karimganj,75.7,5.5,0.58,0.21,0,26.8,0
2023-07-21,osm_edge_01237,Ri-Bhoi,74.6,6.3,0.45,0.23,0,27.2,0
2023-08-01,osm_edge_04566,Karimganj,79.0,2.3,0.39,0.15,0,25.1,0
2023-08-03,osm_edge_02782,Karimganj,101.6,3.6,0.39,0.17,0,30.9,0
2023-08-03,osm_edge_04935,East Jaintia Hills,99.1,15.5,0.97,0.56,2,55.2,0
2023-08-05,osm_edge_04650,Ri-Bhoi,127.8,4.7,0.57,0.19,0,32.6,0
2023-08-08,osm_edge_02965,Karimganj,32.6,3.2,0.49,0.16,0,22.9,0
2023-08-12,osm_edge_02148,East Jaintia Hills,24.0,14.2,0.78,0.53,2,41.4,0
2023-08-13,osm_edge_02419,Karimganj,129.7,2.4,0.55,0.15,0,35.1,0
2023-08-16,osm_edge_01348,Ri-Bhoi,159.3,13.6,0.45,0.37,2,48.5,0
2023-08-18,osm_edge_03040,East Khasi Hills,44.7,17.2,0.76,0.59,1,41.9,0
2023-08-26,osm_edge_03639,Cachar,69.5,3.2,0.54,0.16,0,28.2,0
2023-08-28,osm_edge_02283,East Khasi Hills,119.5,20.3,0.77,0.66,1,57.9,0
2023-09-05,osm_edge_03984,Karimganj,36.2,1.4,0.65,0.13,0,23.9,0
2023-09-09,osm_edge_04009,Karimganj,90.9,1.2,0.48,0.12,0,29.3,0
2023-09-21,osm_edge_02863,Ri-Bhoi,43.4,12.0,0.43,0.34,0,25.0,0
2023-09-22,osm_edge_05449,East Jaintia Hills,153.1,30.5,0.72,0.86,1,65.4,0
2023-09-25,osm_edge_00063,Kamrup Metropolitan,72.5,2.0,0.44,0.14,0,17.5,0
2023-09-28,osm_edge_00617,Cachar,83.6,4.4,0.59,0.19,0,32.7,0
2023-10-02,osm_edge_03053,East Khasi Hills,13.2,20.9,0.7,0.67,0,37.3,0
2023-10-21,osm_edge_05580,Ri-Bhoi,34.6,10.0,0.57,0.3,0,29.0,0
2023-11-16,osm_edge_00402,Karimganj,31.0,5.2,0.67,0.2,0,21.8,0
2023-12-14,osm_edge_02897,East Khasi Hills,38.7,27.1,0.75,0.79,2,52.4,0
2023-12-15,osm_edge_01001,Cachar,25.6,1.5,0.42,0.13,0,20.0,0
2023-12-23,osm_edge_04989,Cachar,28.1,2.3,0.41,0.15,0,14.4,0
2024-01-21,osm_edge_03199,East Khasi Hills,29.9,16.5,0.63,0.58,0,36.2,0
2024-03-11,osm_edge_03891,Ri-Bhoi,23.3,10.4,0.69,0.31,0,32.0,0
2024-03-18,osm_edge_03766,Karimganj,28.8,2.8,0.62,0.16,0,22.5,0
2024-03-23,osm_edge_01758,Kamrup Metropolitan,4.9,7.4,0.52,0.25,0,23.8,0
2024-04-08,osm_edge_03147,East Khasi Hills,32.5,29.2,0.82,0.83,2,58.4,0
2024-04-11,osm_edge_03603,Cachar,19.9,5.9,0.52,0.22,0,25.1,0
2024-05-02,osm_edge_03327,Cachar,94.3,1.8,0.5,0.14,0,24.8,0
2024-05-14,osm_edge_04254,Ri-Bhoi,151.6,3.9,0.56,0.18,0,37.7,0
2024-05-17,osm_edge_04095,Karimganj,66.6,3.9,0.6,0.18,0,21.7,0
2024-06-03,osm_edge_04113,Karimganj,302.0,2.9,0.36,0.16,2,55.4,0
2024-06-05,osm_edge_00650,Cachar,197.2,3.7,0.6,0.17,0,39.9,0
2024-06-05,osm_edge_02778,Ri-Bhoi,190.0,5.2,0.53,0.2,0,38.4,0
2024-06-07,osm_edge_02962,Karimganj,188.4,5.0,0.43,0.2,0,39.2,0
2024-06-08,osm_edge_02361,Karimganj,178.8,3.1,0.63,0.16,0,37.5,0
2024-06-08,osm_edge_02166,West Jaintia Hills,304.8,15.0,0.8,0.55,4,80.4,1
2024-06-10,osm_edge_02632,Ri-Bhoi,170.8,6.4,0.56,0.23,2,44.1,0
2024-06-13,osm_edge_04698,Kamrup Metropolitan,269.2,6.7,0.68,0.23,2,55.8,0
2024-06-15,osm_edge_04219,Ri-Bhoi,96.6,4.3,0.51,0.19,0,24.8,0
2024-06-17,osm_edge_00930,East Khasi Hills,128.1,16.5,0.7,0.58,2,49.7,0
2024-06-19,osm_edge_04141,Karimganj,188.7,2.8,0.37,0.16,2,41.2,0
2024-06-21,osm_edge_00286,West Jaintia Hills,207.5,16.6,0.83,0.58,2,66.4,0
2024-06-27,osm_edge_01197,Ri-Bhoi,257.3,8.2,0.64,0.26,1,56.7,0
2024-06-27,osm_edge_03817,Karimganj,107.3,4.9,0.57,0.2,0,37.2,0
2024-06-28,osm_edge_03041,East Khasi Hills,81.8,19.4,0.54,0.64,2,42.2,0
2024-07-03,osm_edge_01026,Karimganj,304.8,3.5,0.41,0.17,2,50.1,0
2024-07-07,osm_edge_00371,Kamrup Metropolitan,160.5,3.5,0.45,0.17,0,35.3,0
2024-07-08,osm_edge_04206,Karimganj,301.9,5.1,0.66,0.2,2,59.3,0
2024-07-09,osm_edge_00648,Cachar,275.3,4.7,0.42,0.19,2,49.3,0
2024-07-12,osm_edge_00470,East Khasi Hills,101.6,19.3,0.76,0.64,2,47.9,0
2024-07-14,osm_edge_00901,East Khasi Hills,166.7,11.3,0.74,0.48,2,55.8,0
2024-07-16,osm_edge_04687,Kamrup Metropolitan,226.9,7.2,0.54,0.24,1,48.0,0
2024-07-16,osm_edge_01699,Kamrup Metropolitan,266.8,3.4,0.68,0.17,1,52.3,0
2024-07-17,osm_edge_01556,East Khasi Hills,189.3,18.3,0.81,0.62,2,60.2,0
2024-07-18,osm_edge_00511,East Khasi Hills,196.6,15.2,0.73,0.55,1,58.6,0
2024-07-21,osm_edge_05155,Cachar,210.2,4.9,0.62,0.2,2,49.4,0
2024-07-22,osm_edge_02891,East Khasi Hills,153.8,22.7,0.68,0.7,1,65.6,0
2024-07-27,osm_edge_01332,Ri-Bhoi,275.4,6.3,0.47,0.23,2,54.6,0
2024-08-03,osm_edge_03704,Karimganj,177.9,5.1,0.69,0.2,1,46.1,0
2024-08-03,osm_edge_04618,Ri-Bhoi,112.3,3.5,0.57,0.17,0,33.3,0
2024-08-04,osm_edge_00821,Ri-Bhoi,174.3,10.5,0.4,0.31,1,48.2,0
2024-08-06,osm_edge_02887,East Khasi Hills,176.9,26.3,0.74,0.78,1,68.8,0
2024-08-08,osm_edge_01125,East Khasi Hills,105.0,13.3,0.73,0.52,1,48.0,0
2024-08-12,osm_edge_03663,Karimganj,122.3,4.1,0.5,0.18,0,35.2,0
2024-08-14,osm_edge_02341,Kamrup Metropolitan,78.5,1.9,0.44,0.14,0,22.2,0
2024-08-15,osm_edge_01105,Kamrup Metropolitan,146.6,1.3,0.42,0.13,0,35.1,0
2024-08-16,osm_edge_03334,Cachar,174.2,3.4,0.42,0.17,0,35.2,0
2024-08-17,osm_edge_01123,East Khasi Hills,102.5,18.1,0.71,0.61,2,48.7,0
2024-08-18,osm_edge_04689,Kamrup Metropolitan,30.5,1.9,0.66,0.14,0,20.1,0
2024-08-19,osm_edge_03039,East Khasi Hills,70.3,11.0,0.63,0.47,0,35.4,0
2024-08-21,osm_edge_00554,Karimganj,141.1,1.5,0.55,0.13,0,29.6,0
2024-08-21,osm_edge_05292,Karimganj,135.7,3.9,0.54,0.18,0,39.1,0
2024-08-24,osm_edge_01177,Karimganj,83.8,5.9,0.47,0.22,0,31.0,0
2024-08-25,osm_edge_01397,Karimganj,128.9,5.2,0.4,0.2,0,27.5,0
2024-08-27,osm_edge_03922,Karimganj,70.7,3.9,0.39,0.18,0,18.8,0
2024-08-27,osm_edge_03545,Cachar,46.3,1.6,0.4,0.13,0,15.9,0
2024-08-28,osm_edge_02344,East Khasi Hills,147.9,22.4,0.6,0.7,2,57.9,0
2024-08-28,osm_edge_04506,Ri-Bhoi,132.0,4.7,0.6,0.19,0,32.8,0
2024-09-10,osm_edge_01848,Ri-Bhoi,121.6,12.3,0.44,0.35,0,39.6,0
2024-09-22,osm_edge_04505,Ri-Bhoi,35.5,9.7,0.4,0.29,0,22.8,0
2024-10-13,osm_edge_02586,East Khasi Hills,10.1,29.8,0.69,0.85,1,51.7,0
2025-01-07,osm_edge_02484,West Jaintia Hills,4.7,26.9,0.98,0.79,2,56.4,0
2025-01-18,osm_edge_03685,Karimganj,10.7,4.6,0.42,0.19,0,18.0,0
2025-02-22,osm_edge_04852,Ri-Bhoi,29.1,11.4,0.36,0.33,0,28.6,0
2025-04-09,osm_edge_01100,Kamrup Metropolitan,6.5,2.3,0.39,0.15,0,12.6,0
2025-04-13,osm_edge_03675,Karimganj,35.0,1.4,0.69,0.13,0,18.2,0
2025-04-22,osm_edge_00187,Ri-Bhoi,15.2,10.9,0.5,0.32,0,22.0,0
2025-04-25,osm_edge_05029,Cachar,31.3,2.6,0.57,0.15,0,19.6,0
2025-04-26,osm_edge_00745,East Khasi Hills,16.6,9.2,0.55,0.43,0,27.7,0
2025-05-11,osm_edge_02108,East Khasi Hills,141.2,25.4,0.7,0.76,2,59.3,0
2025-05-13,osm_edge_05324,Ri-Bhoi,121.9,7.1,0.52,0.24,0,37.5,0
2025-05-18,osm_edge_05401,East Jaintia Hills,135.6,20.2,0.71,0.65,2,57.2,0
2025-05-19,osm_edge_03388,Cachar,120.2,5.4,0.67,0.21,0,36.0,0
2025-05-22,osm_edge_03504,Karimganj,96.4,1.5,0.69,0.13,0,34.5,0
2025-05-26,osm_edge_04940,East Jaintia Hills,109.4,27.2,0.95,0.79,2,64.7,0
2025-05-28,osm_edge_04449,West Jaintia Hills,113.9,15.7,0.98,0.56,2,57.5,0
2025-06-01,osm_edge_03192,East Khasi Hills,258.0,28.7,0.66,0.82,2,76.4,1
2025-06-02,osm_edge_01972,Dima Hasao,286.8,17.1,0.59,0.59,1,69.1,0
2025-06-03,osm_edge_00599,West Jaintia Hills,292.5,19.7,0.72,0.64,5,82.3,1
2025-06-05,osm_edge_00260,Ri-Bhoi,227.9,11.4,0.69,0.33,2,56.5,0
2025-06-05,osm_edge_01379,Karimganj,298.4,4.6,0.52,0.19,1,57.0,0
2025-06-07,osm_edge_01896,Kamrup Metropolitan,220.6,4.5,0.48,0.19,2,47.1,0
2025-06-09,osm_edge_03119,East Khasi Hills,173.0,18.8,0.52,0.63,2,56.0,0
2025-06-18,osm_edge_01223,Ri-Bhoi,138.2,8.2,0.65,0.26,2,43.4,0
2025-06-21,osm_edge_04061,Karimganj,142.9,4.4,0.63,0.19,0,37.1,0
2025-06-22,osm_edge_05355,East Jaintia Hills,165.4,14.4,0.81,0.54,2,57.3,0
2025-06-23,osm_edge_01718,Karimganj,266.7,1.3,0.65,0.13,1,53.6,0
2025-06-24,osm_edge_03774,Karimganj,231.7,4.8,0.36,0.2,1,46.0,0
2025-06-25,osm_edge_00056,Ri-Bhoi,211.4,5.9,0.47,0.22,2,46.1,0
2025-06-27,osm_edge_02496,Ri-Bhoi,145.7,9.8,0.63,0.3,1,42.0,0
2025-06-28,osm_edge_04692,Kamrup Metropolitan,113.4,4.6,0.39,0.19,0,30.2,0
2025-07-04,osm_edge_00307,Karimganj,178.1,5.6,0.47,0.21,2,42.0,0
2025-07-05,osm_edge_04785,Kamrup Metropolitan,208.1,2.4,0.43,0.15,0,38.2,0
2025-07-08,osm_edge_05185,Cachar,264.3,2.6,0.45,0.15,1,47.4,0
2025-07-09,osm_edge_04511,Ri-Bhoi,248.1,11.4,0.52,0.33,2,59.0,0
2025-07-09,osm_edge_01220,Ri-Bhoi,163.2,12.0,0.44,0.34,2,42.9,0
2025-07-14,osm_edge_00141,Ri-Bhoi,87.8,11.9,0.67,0.34,0,34.7,0
2025-07-16,osm_edge_02527,East Jaintia Hills,247.8,21.3,0.98,0.68,4,81.0,1
2025-07-17,osm_edge_01536,East Jaintia Hills,152.0,20.2,0.71,0.65,2,54.9,0
2025-07-19,osm_edge_01665,Kamrup Metropolitan,64.2,7.0,0.61,0.24,0,30.1,0
2025-07-19,osm_edge_00631,Cachar,293.1,5.2,0.49,0.2,1,54.2,0
2025-07-22,osm_edge_04720,Kamrup Metropolitan,287.8,6.7,0.43,0.23,1,60.3,0
2025-07-25,osm_edge_03296,Cachar,191.0,5.3,0.37,0.21,0,38.0,0
2025-07-25,osm_edge_03156,East Khasi Hills,295.4,9.9,0.82,0.45,3,75.2,1
2025-07-26,osm_edge_00678,Cachar,313.2,2.7,0.69,0.15,1,62.3,0
2025-08-02,osm_edge_01435,East Khasi Hills,99.3,29.9,0.64,0.85,2,64.5,0
2025-08-03,osm_edge_04305,Kamrup Metropolitan,152.6,7.4,0.39,0.25,1,41.4,0
2025-08-13,osm_edge_01988,East Jaintia Hills,144.1,30.3,0.89,0.86,4,70.3,1
2025-08-16,osm_edge_04963,Cachar,152.1,4.8,0.63,0.2,1,42.2,0
